date,currency_code,rate
2002-01-29,FIM,0.595
2002-01-29,FRF,0.5393
2002-01-29,GRD,0.010382
2002-01-29,ESP,0.021261
2002-01-29,EUR,3.5375
2002-01-29,IEP,4.4917
2002-01-29,JPY,0.03087
2002-01-29,CAD,2.5804
2002-01-29,LUF,0.087692
2002-01-29,NOK,0.4511
2002-01-29,PTE,0.017645
2002-01-29,EUR,3.5375
2002-01-29,USD,4.1067
2002-01-29,CHF,2.4023
2002-01-29,SEK,0.3834
2002-01-29,HUF,0.014558
2002-01-29,GBP,5.7798
2002-01-29,ITL,0.001827
2002-01-29,EUR,3.5375
2002-01-29,XDR,5.1078
2002-01-30,AUD,2.0966
2002-01-30,ATS,0.2603
2002-01-30,BEF,0.088803
2002-01-30,CZK,0.1121
2002-01-30,DKK,0.4823
2002-01-30,EEK,0.2289
2002-01-30,FIM,0.6025
2002-01-30,FRF,0.5461
2002-01-30,GRD,0.010513
2002-01-30,ESP,0.02153
2002-01-30,EUR,3.5823
2002-01-30,IEP,4.5486
2002-01-30,JPY,0.031231
2002-01-30,CAD,2.6023
2002-01-30,LUF,0.088803
2002-01-30,NOK,0.4564
2002-01-30,PTE,0.017868
2002-01-30,EUR,3.5823
2002-01-30,USD,4.1387
2002-01-30,CHF,2.4362
2002-01-30,SEK,0.3872
2002-01-30,HUF,0.014701
2002-01-30,GBP,5.8621
2002-01-30,ITL,0.00185
2002-01-30,EUR,3.5823
2002-01-30,XDR,5.1524
2002-01-31,AUD,2.1165
2002-01-31,ATS,0.2611
2002-01-31,BEF,0.089066
2002-01-31,CZK,0.1125
2002-01-31,DKK,0.4837
2002-01-31,EEK,0.2296
2002-01-31,FIM,0.6043
2002-01-31,FRF,0.5477
2002-01-31,GRD,0.010544
2002-01-31,ESP,0.021594
2002-01-31,EUR,3.5929
2002-01-31,IEP,4.562
2002-01-31,JPY,0.031331
2002-01-31,CAD,2.6262
2002-01-31,LUF,0.089066
2002-01-31,NOK,0.4588
2002-01-31,PTE,0.017921
2002-01-31,EUR,3.5929
2002-01-31,USD,4.1637
2002-01-31,CHF,2.437
2002-01-31,SEK,0.3919
2002-01-31,HUF,0.014756
2002-01-31,GBP,5.8756
2002-01-31,ITL,0.001856
2002-01-31,EUR,3.5929
2002-01-31,XDR,5.1717
2002-02-01,AUD,2.1228
2002-02-01,ATS,0.2611
2002-02-01,BEF,0.089066
2002-02-01,CZK,0.1129
2002-02-01,DKK,0.4837
2002-02-01,EEK,0.2297
2002-02-01,FIM,0.6043
2002-02-01,FRF,0.5477
2002-02-01,GRD,0.010544
2002-02-01,ESP,0.021594
2002-02-01,EUR,3.5929
2002-02-01,IEP,4.562
2002-02-01,JPY,0.031198
2002-02-01,CAD,2.6271
2002-02-01,LUF,0.089066
2002-02-01,NOK,0.4585
2002-02-01,PTE,0.017921
2002-02-01,EUR,3.5929
2002-02-01,USD,4.175
2002-02-01,CHF,2.4331
2002-02-01,SEK,0.3923
2002-02-01,HUF,0.014823
2002-02-01,GBP,5.8924
2002-02-01,ITL,0.001856
2002-02-01,EUR,3.5929
2002-02-01,XDR,5.1668
2002-02-04,AUD,2.1527
2002-02-04,ATS,0.2641
2002-02-04,BEF,0.090075
2002-02-04,CZK,0.1142
2002-02-04,DKK,0.4892
2002-02-04,EEK,0.2322
2002-02-04,FIM,0.6111
2002-02-04,FRF,0.5539
2002-02-04,GRD,0.010664
2002-02-04,ESP,0.021838
2002-02-04,EUR,3.6336
2002-02-04,IEP,4.6137
2002-02-04,JPY,0.03162
2002-02-04,CAD,2.6489
2002-02-04,LUF,0.090075
2002-02-04,NOK,0.4636
2002-02-04,PTE,0.018124
2002-02-04,EUR,3.6336
2002-02-04,USD,4.2144
2002-02-04,CHF,2.4571
2002-02-04,SEK,0.3945
2002-02-04,HUF,0.014901
2002-02-04,GBP,5.9768
2002-02-04,ITL,0.001877
2002-02-04,EUR,3.6336
2002-02-04,XDR,5.2165
2002-02-05,AUD,2.141
